datetime_column,RRU.MaxLayerDlMimo,PEE.AvgPower,RRU.PrbUsedDl,RRU.PrbUsedUl
2022-12-31 17:35:00,0.416666667,327.6705017,113.75,104.65
2022-12-31 17:36:00,0.7,340.6347046,189.4166667,154.7
2022-12-31 17:37:00,0.616666667,340.6347046,168.35,163.8
2022-12-31 17:38:00,0.566666667,340.6347046,154.0333333,145.6
2022-12-31 17:39:00,0.7,340.6347046,191.1,100.0
2022-12-31 17:40:00,0.733333333,327.8493169,200.2,200.2
2022-12-31 17:41:00,0.616666667,340.6347046,144.2333333,154.7
2022-12-31 17:42:00,0.5,340.6347046,136.5,100.0
2022-12-31 17:43:00,0.7,340.6347046,191.1,186.55
2022-12-31 17:44:00,0.616666667,340.6347046,168.35,159.25
2022-12-31 17:45:00,0.716666667,340.6347046,195.65,182.0
2022-12-31 17:46:00,0.55,340.6347046,150.15,100.0
2022-12-31 17:47:00,0.8,330.459667,218.4,209.3
2022-12-31 17:48:00,0.65,340.6347046,177.45,163.8
2022-12-31 17:49:00,0.266666667,339.7290731,99.71666667,99.71666667
2022-12-31 17:50:00,0.433333333,340.6347046,118.3,109.2
2022-12-31 17:51:00,0.433333333,340.6347046,118.3,100.1
2022-12-31 17:52:00,0.666666667,327.6705017,179.7666667,172.9
2022-12-31 17:53:00,0.416666667,340.6347046,113.75,113.75
2022-12-31 17:54:00,0.433333333,327.6705017,118.3,100.1
2022-12-31 17:55:00,0.766666667,340.6347046,206.3333333,195.65
2022-12-31 17:56:00,0.8,337.1187228,217.2833333,204.75
2022-12-31 17:57:00,0.633333333,327.6705017,166.65,159.25
2022-12-31 17:58:00,0.516666667,340.6347046,141.05,136.5
2022-12-31 17:59:00,0.366666667,340.6347046,100.1,100.0
2022-12-31 18:00:00,0.716666667,335.3074595,195.65,186.55
2022-12-31 18:01:00,0.566666667,340.6347046,154.7,150.15
2022-12-31 18:02:00,0.516666667,340.6347046,141.05,136.5
2022-12-31 18:03:00,0.716666667,340.6347046,195.65,131.95
2022-12-31 18:04:00,0.516666667,340.6347046,141.05,141.05
2022-12-31 18:05:00,0.7,340.6347046,191.1,177.45
2022-12-31 18:06:00,0.383333333,340.6347046,104.65,104.65
2022-12-31 18:07:00,0.55,327.6705017,121.7833333,141.05
2022-12-31 18:08:00,0.633333333,327.6705017,172.9,172.9
2022-12-31 18:09:00,0.783333333,340.6347046,213.85,204.75
2022-12-31 18:10:00,0.516666667,340.6347046,141.05,131.95
2022-12-31 18:11:00,0.7,340.1552526,190.8,186.55
2022-12-31 18:12:00,0.716666667,340.6347046,195.65,191.1
2022-12-31 18:13:00,0.766666667,340.6347046,206.85,195.65
2022-12-31 18:14:00,0.233333333,340.6347046,100.0,100.0
2022-12-31 18:15:00,0.516666667,327.6705017,141.05,95.0
2022-12-31 18:16:00,0.716666667,327.6705017,195.65,186.55
2022-12-31 18:17:00,0.583333333,340.6347046,159.25,154.7
2022-12-31 18:18:00,0.183333333,340.6347046,100.0,100.0
2022-12-31 18:19:00,0.583333333,340.6347046,159.25,150.15
2022-12-31 18:20:00,0.2,340.6347046,100.0,100.0
2022-12-31 18:21:00,0.616666667,335.0943708,168.35,118.3
2022-12-31 18:22:00,0.633333333,327.6705017,172.9,122.85
2022-12-31 18:23:00,0.6,331.525116,163.8,154.7
2022-12-31 18:24:00,0.55,340.6347046,150.15,141.05
2022-12-31 18:25:00,0.6,340.6347046,163.8,154.7
2022-12-31 18:26:00,0.566666667,340.6347046,154.7,154.7
2022-12-31 18:27:00,0.233333333,327.6705017,86.53333333,86.53333333
2022-12-31 18:28:00,0.733333333,340.6347046,200.2,172.9
2022-12-31 18:29:00,0.483333333,339.7823456,131.95,131.95
2022-12-31 18:30:00,0.5,340.6347046,136.5,131.95
2022-12-31 18:31:00,0.55,340.6347046,149.1333333,145.6
2022-12-31 18:32:00,0.616666667,340.6347046,168.35,163.8
2022-12-31 18:33:00,0.4,335.3074595,109.2,109.2
2022-12-31 18:34:00,0.65,327.6705017,172.2833333,177.45
2022-12-31 18:35:00,0.566666667,327.6705017,152.1166667,93.58333333
2022-12-31 18:36:00,0.4,340.6347046,104.9,100.1
2022-12-31 18:37:00,0.616666667,340.6347046,168.35,122.85
2022-12-31 18:38:00,0.533333333,337.6514476,145.6,145.6
2022-12-31 18:39:00,0.55,340.6347046,150.15,104.65
2022-12-31 18:40:00,0.5,327.6705017,136.5,95.55
2022-12-31 18:41:00,0.566666667,340.6347046,154.7,154.7
2022-12-31 18:42:00,0.5,340.5281601,136.5,127.4
2022-12-31 18:43:00,0.616666667,327.6705017,168.35,163.8
2022-12-31 18:44:00,0.55,340.6347046,150.15,141.05
2022-12-31 18:45:00,0.566666667,339.1430761,154.7,154.7
2022-12-31 18:46:00,0.433333333,340.6347046,118.3,100.1
2022-12-31 18:47:00,0.55,340.6347046,150.15,136.5
2022-12-31 18:48:00,0.633333333,335.3074595,171.3,98.33333333
2022-12-31 18:49:00,0.733333333,339.5692556,200.2,200.2
2022-12-31 18:50:00,0.6,327.6705017,163.8,150.15
2022-12-31 18:51:00,0.766666667,333.7092865,207.65,200.2
2022-12-31 18:52:00,0.6,340.6347046,163.8,100.0
2022-12-31 18:53:00,0.666666667,340.6347046,182.0,172.9
2022-12-31 18:54:00,0.633333333,338.6103516,160.15,159.25
2022-12-31 18:55:00,0.75,340.6347046,196.7333333,195.65
2022-12-31 18:56:00,0.516666667,340.6347046,139.0666667,131.95
2022-12-31 18:57:00,0.183333333,337.3318128,100.0,100.0
2022-12-31 18:58:00,0.666666667,334.4551005,179.8666667,168.35
2022-12-31 18:59:00,0.666666667,340.6347046,182.0,168.35
2022-12-31 19:00:00,0.216666667,340.6347046,100.0,100.0
2022-12-31 19:01:00,0.616666667,327.6705017,168.35,168.35
2022-12-31 19:02:00,0.616666667,327.6705017,168.35,159.25
2022-12-31 19:03:00,0.516666667,340.6347046,141.05,131.95
2022-12-31 19:04:00,0.683333333,335.3074595,186.55,172.9
2022-12-31 19:05:00,0.833333333,340.0487081,227.5,213.85
2022-12-31 19:06:00,0.516666667,340.6347046,139.3,131.95
2022-12-31 19:07:00,0.716666667,340.6347046,193.5833333,177.45
2022-12-31 19:08:00,0.833333333,327.6705017,227.5,218.4
2022-12-31 19:09:00,0.45,335.3074595,122.85,122.85
2022-12-31 19:10:00,0.65,327.6705017,177.45,177.45
2022-12-31 19:11:00,0.666666667,340.6347046,179.4166667,172.9
2022-12-31 19:12:00,0.566666667,340.6347046,154.7,100.0
2022-12-31 19:13:00,0.35,335.3607325,98.35,98.35
2022-12-31 19:14:00,0.566666667,340.1552526,154.7,150.15
2022-12-31 19:15:00,0.583333333,327.6705017,159.25,159.25
2022-12-31 19:16:00,0.633333333,337.3318128,172.9,154.7
2022-12-31 19:17:00,0.366666667,340.6347046,100.0,100.0
2022-12-31 19:18:00,0.45,337.9178098,122.85,122.85
2022-12-31 19:19:00,0.616666667,340.6347046,168.35,159.25
2022-12-31 19:20:00,0.616666667,337.4383586,168.35,159.25
2022-12-31 19:21:00,0.633333333,340.6347046,169.15,141.05
2022-12-31 19:22:00,0.65,340.6347046,177.45,163.8
2022-12-31 19:23:00,0.45,327.6705017,122.85,109.2
2022-12-31 19:24:00,0.916666667,340.6347046,225.9166667,227.5
2022-12-31 19:25:00,0.816666667,340.6347046,215.7666667,209.3
2022-12-31 19:26:00,0.616666667,340.6347046,168.35,154.7
2022-12-31 19:27:00,0.666666667,340.6347046,182.0,141.05
2022-12-31 19:28:00,0.6,330.5129395,163.8,154.7
2022-12-31 19:29:00,0.416666667,327.6705017,113.75,113.75
2022-12-31 19:30:00,0.616666667,340.6347046,168.35,154.7
2022-12-31 19:31:00,0.45,335.3074595,122.85,122.85
2022-12-31 19:32:00,0.25,327.6705017,80.0,80.0
2022-12-31 19:33:00,0.716666667,340.6347046,195.65,186.55
2022-12-31 19:34:00,0.65,337.1187228,177.45,168.35
2022-12-31 19:35:00,0.716666667,340.6347046,195.65,191.1
2022-12-31 19:36:00,0.583333333,340.6347046,159.25,154.7
2022-12-31 19:37:00,0.6,340.6347046,163.8,159.25
2022-12-31 19:38:00,0.45,340.6347046,122.85,109.2
2022-12-31 19:39:00,0.416666667,340.6347046,113.75,109.2
2022-12-31 19:40:00,0.633333333,335.3074595,172.9,163.8
2022-12-31 19:41:00,0.533333333,332.324205,111.6833333,141.05
2022-12-31 19:42:00,0.883333333,334.5616453,206.6833333,241.15
2022-12-31 19:43:00,0.5,340.6347046,136.5,127.4
2022-12-31 19:44:00,0.683333333,339.1430761,185.5333333,172.9
2022-12-31 19:45:00,0.566666667,340.6347046,154.7,145.6
2022-12-31 19:46:00,0.333333333,340.6347046,100.0,100.0
2022-12-31 19:47:00,0.666666667,340.6347046,182.0,177.45
2022-12-31 19:48:00,0.483333333,327.6705017,131.95,127.4
2022-12-31 19:49:00,0.6,327.6705017,163.8,150.15
2022-12-31 19:50:00,0.3,340.6347046,100.0,100.0
2022-12-31 19:51:00,0.266666667,340.6347046,100.0,100.0
2022-12-31 19:52:00,0.383333333,329.2876729,104.65,104.65
2022-12-31 19:53:00,0.683333333,340.6347046,186.55,168.35
2022-12-31 19:54:00,0.933333333,340.6347046,254.1166667,254.8
2022-12-31 19:55:00,0.533333333,337.5449025,145.6,136.5
2022-12-31 19:56:00,0.633333333,327.6705017,168.0666667,93.15
2022-12-31 19:57:00,0.7,340.6347046,177.8166667,177.45
2022-12-31 19:58:00,0.483333333,340.6347046,131.95,131.95
2022-12-31 19:59:00,0.3,327.6705017,95.0,95.0
