name,time (ms),CARR.AverageLayersDl,DRB.UEThpDl,DRB.UEThpUl,MM.HoExeInterReq,MM.HoExeInterSucc,MM.HoExeIntraReq,MM.HoExeIntraSucc,PEE.AvgPower,PEE.Energy,QosFlow.TotPdcpPduVolumeDl,QosFlow.TotPdcpPduVolumeUl,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabFailCause.NetworkReject,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnMax,RRC.ConnMean,RRU.MaxLayerDlMimo,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,Viavi.Cell.AverageBeamsDl,Viavi.Cell.Name,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrCgi,Viavi.NrPci,Viavi.PEE.EnergyEfficiency,Viavi.QoS.Score,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Radio.power,Viavi.isEnergySaving,_FrameCnt,_Ns3FrameCnt
CellReports,1721118642276,0,0,0,0,0,27,27,36,0.06121383006573831,0,0,0,0,8,0,0,0,8,8,0,0,273,273,0,0,0,0,1,S3/N77/C2,-152,-673,25,3,4240821235048456,8,0,,1,120,37,0,4176,4177
CellReports,1721118642276,1,0.020291201770305634,0.029585599899291992,0,0,30,30,59.63383102416992,0.06854781989913043,20.291202545166016,29.585599899291992,0,0,0,0,0,0,0,6,3,1,273,273,7,100,21,273,1,S4/N77/C2,1571,-653,25,4,4240821235048459,11,340.2095947265625,69,1,120,37,0,4176,4177
CellReports,1721118642276,1,0.011810400523245335,0.030213600024580956,0,0,63,63,69.76261138916016,0.07271656475967099,11.81040096282959,30.213600158691406,0,0,12,0,0,0,12,9,6,1,273,273,3,100,9,273,1,S4/N77/C3,1571,-653,25,4,4240821235048460,12,424.7318115234375,28,1,240,37,0,4176,4177
CellReports,1721118642276,1,0.04036480188369751,0.041046399623155594,0,0,54,54,73.13887786865234,0.07148047798212508,40.364803314208984,41.0463981628418,0,0,0,0,0,0,0,6,5,1,273,273,10,100,28,273,1,S1/N77/C1,-1601,896,25,1,4240821235048449,1,621.6776733398438,81,1,0,37,0,4176,4177
CellReports,1721118642276,1,0.07971840351819992,0.04344800114631653,0,0,34,34,76.51513671875,0.09103559588699552,79.7184066772461,43.448001861572266,0,0,0,0,0,0,0,11,8,1,273,273,20,100,56,273,1,S2/N77/C1,197,610,25,2,4240821235048452,4,657.0098876953125,100,1,0,37,0,4176,4177
CellReports,1721118642276,1,0.009984799660742283,0.019300799816846848,0,0,49,46,79.89139556884766,0.08178182636192113,9.9847993850708,19.300800323486328,0,0,5,0,0,0,5,9,7,1,273,273,5,100,14,273,1,S3/N77/C3,-152,-673,25,3,4240821235048457,9,267.36297607421875,17,1,240,37,0,4176,4177
CellReports,1721118642276,1,0.015429600141942501,0.015359999611973763,0,0,64,63,52.88130569458008,0.09105247719351779,15.42959976196289,15.359999656677246,0,0,0,0,0,0,0,13,5,1,273,273,7,100,21,273,1,S2/N77/C2,197,610,25,2,4240821235048453,5,198.84530639648438,32,1,120,37,0,4176,4177
CellReports,1721118642276,1,0.01905680075287819,0.04344960302114487,0,0,29,29,42.75252151489258,0.05750838328418693,19.056800842285156,43.44960403442383,0,0,0,0,0,0,0,5,2,1,273,273,4,100,13,273,1,S4/N77/C1,1571,-653,25,4,4240821235048458,10,233.0809783935547,100,1,0,37,0,4176,4177
CellReports,1721118642276,1,0.00996480043977499,0.04344639927148819,0,0,27,27,42.75252151489258,0.059066152736010374,9.964800834655762,43.4463996887207,0,0,2,0,0,0,2,5,1,1,273,273,2,100,7,273,1,S1/N77/C3,-1601,896,25,1,4240821235048451,3,233.08099365234375,100,1,240,37,0,4176,4177
CellReports,1721118642276,1,0.023715201765298843,0.022829599678516388,0,0,69,67,49.50504684448242,0.09687840364428758,23.71520233154297,22.829599380493164,0,0,4,0,0,0,4,10,6,1,273,273,13,100,35,273,1,S1/N77/C2,-1601,896,25,1,4240821235048450,2,269.3866882324219,45,1,120,37,0,4176,4177
CellReports,1721118641274,1,0.00996480043977499,0.04344639927148819,0,0,27,27,42.75252151489258,0.05905427703528572,9.964800834655762,43.4463996887207,0,0,2,0,0,0,2,5,1,1,273,273,2,100,7,273,1,S1/N77/C3,-1601,896,25,1,4240821235048451,3,233.08099365234375,100,1,240,37,0,4175,4176
CellReports,1721118641274,1,0.01333600003272295,0.022829599678516388,0,0,69,67,79.89139556884766,0.09686465224283827,13.336000442504883,22.829599380493164,0,0,4,0,0,0,4,10,6,1,273,273,4,100,12,273,1,S1/N77/C2,-1601,896,25,1,4240821235048450,2,298.845703125,23,1,120,37,0,4175,4176
CellReports,1721118641274,1,0.05027120187878609,0.043216802179813385,0,0,34,34,100.14896392822266,0.0910143416826476,50.271202087402344,43.216800689697266,0,0,0,0,0,0,0,11,8,1,273,273,12,100,35,273,1,S2/N77/C1,197,610,25,2,4240821235048452,4,746.000732421875,63,1,0,37,0,4175,4176
CellReports,1721118641274,0,0,0,0,0,27,27,36,0.061203830065738304,0,0,0,0,8,0,0,0,8,8,0,0,273,273,0,0,0,0,1,S3/N77/C2,-152,-673,25,3,4240821235048456,8,0,,1,120,37,0,4175,4176
CellReports,1721118641274,1,0.012258400209248066,0.0377408005297184,0,0,30,30,49.50504684448242,0.052130127810230985,12.258399963378906,37.74079895019531,0,0,0,0,0,0,0,5,2,1,273,273,3,100,9,273,1,S3/N77/C1,-152,-673,25,3,4240821235048455,7,322.22979736328125,61,1,0,37,0,4175,4176
CellReports,1721118641274,1,0.03661920130252838,0.03314640000462532,0,0,65,64,69.76261138916016,0.06622883230708379,36.61920166015625,33.146400451660156,0,0,0,0,0,0,0,8,7,1,273,273,10,100,28,273,1,S2/N77/C3,197,610,25,2,4240821235048454,6,525.3472900390625,62,1,240,37,0,4175,4176
CellReports,1721118641274,1,0.045468803495168686,0.04306799918413162,0,0,54,54,73.13887786865234,0.07146016162813948,45.46880340576172,43.06800079345703,0,0,0,0,0,0,0,6,5,1,273,273,11,100,32,273,1,S1/N77/C1,-1601,896,25,1,4240821235048449,1,599.8341674804688,91,1,0,37,0,4175,4176
CellReports,1721118641274,1,0.020288001745939255,0.029585599899291992,0,0,30,30,49.50504684448242,0.06853125494659415,20.288002014160156,29.585599899291992,0,0,0,0,0,0,0,6,3,1,273,273,7,100,21,273,1,S4/N77/C2,1571,-653,25,4,4240821235048459,11,276.076904296875,69,1,120,37,0,4175,4176
CellReports,1721118641274,1,0.029630400240421295,0.029210399836301804,0,0,63,63,73.13887786865234,0.07269718625604772,29.630399703979492,29.210399627685547,0,0,12,0,0,0,12,9,6,1,273,273,10,100,27,273,1,S4/N77/C3,1571,-653,25,4,4240821235048460,12,343.86090087890625,36,1,240,37,0,4175,4176
CellReports,1721118641274,1,0.009964799508452415,0.03840959817171097,0,0,29,29,42.75252151489258,0.057496507583462274,9.964799880981445,38.40959930419922,0,0,0,0,0,0,0,5,2,1,273,273,2,100,7,273,1,S4/N77/C1,1571,-653,25,4,4240821235048458,10,244.90719604492188,94,1,0,37,0,4175,4176
CellReports,1721118641274,1,0.0213600005954504,0.01910720020532608,0,0,49,46,79.89139556884766,0.0817596343072109,21.360000610351562,19.107200622558594,0,0,5,0,0,0,5,9,6,1,273,273,13,100,36,273,1,S3/N77/C3,-152,-673,25,3,4240821235048457,9,296.0318908691406,44,1,240,37,0,4175,4176
CellReports,1721118641274,1,0.010515199974179268,0.014751199632883072,0,0,64,63,46.1287841796875,0.09103778794170615,10.515199661254883,14.751199722290039,0,0,0,0,0,0,0,13,5,1,273,273,5,100,15,273,1,S2/N77/C2,197,610,25,2,4240821235048453,5,234.87286376953125,22,1,120,37,0,4175,4176
CellReports,1721118640287,1,0.0236504003405571,0.019683999940752983,0,0,49,46,79.89139556884766,0.08173744225250065,23.650400161743164,19.68400001525879,0,0,5,0,0,0,5,9,6,1,273,273,13,100,36,273,1,S3/N77/C3,-152,-673,25,3,4240821235048457,9,270.9978942871094,35,1,240,37,0,4174,4175
