name,time (ms),CARR.AverageLayersDl,DRB.UEThpDl,DRB.UEThpUl,MM.HoExeInterReq,MM.HoExeInterSucc,MM.HoExeIntraReq,MM.HoExeIntraSucc,PEE.AvgPower,PEE.Energy,QosFlow.TotPdcpPduVolumeDl,QosFlow.TotPdcpPduVolumeUl,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabFailCause.NetworkReject,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnMax,RRC.ConnMean,RRU.MaxLayerDlMimo,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,Viavi.Cell.AverageBeamsDl,Viavi.Cell.Name,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrCgi,Viavi.NrPci,Viavi.PEE.EnergyEfficiency,Viavi.QoS.Score,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Radio.power,Viavi.isEnergySaving,_FrameCnt,_Ns3FrameCnt
CellReports,1721196526616,1,0.030221600085496902,0.04115600138902664,0,0,19,19,49.50504684448242,0.019768705431965038,30.221599578857422,41.156002044677734,0,0,0,0,0,0,0,11,5,1,273,273,8,100,21,273,1,S5/N77/C2,1425,-88,25,5,4240821235048462,14,302.54693603515625,60,1,120,37,0,985,986
CellReports,1721196526616,1,0.01992960087954998,0.04344960302114487,0,0,10,10,52.88130569458008,0.016434647393894296,19.929601669311523,43.44960403442383,0,0,0,0,0,0,0,5,2,1,273,273,5,100,14,273,1,S1/N77/C3,-1655,1065,25,1,4240821235048451,3,376.87420654296875,100,1,240,37,0,985,986
CellReports,1721196526616,1,0.037937600165605545,0.04076080024242401,0,0,20,20,46.1287841796875,0.014648980304024652,37.937599182128906,40.760799407958984,0,0,0,0,0,0,0,5,5,1,273,273,9,100,26,273,1,S1/N77/C2,-1655,1065,25,1,4240821235048450,2,288.9996032714844,76,1,120,37,0,985,986
CellReports,1721196526616,1,0.030693601816892624,0.04251600056886673,0,0,29,29,52.88130569458008,0.015348616674320222,30.693601608276367,42.51599884033203,0,0,0,0,0,0,0,7,6,1,273,273,8,100,22,273,1,S8/N77/C1,753,-1161,25,8,4240821235048470,22,372.2601013183594,70,1,0,37,0,985,986
CellReports,1721196526616,1,0.027619197964668274,0.03885199874639511,0,0,27,27,46.1287841796875,0.01741563887288784,27.619197845458984,38.85199737548828,0,0,0,0,0,0,0,12,4,1,273,273,7,100,19,273,1,S7/N77/C1,-548,-1209,25,7,4240821235048467,19,255.8055877685547,69,1,0,37,0,985,986
CellReports,1721196526616,1,0.01693440042436123,0.04344960302114487,0,0,18,18,49.50504684448242,0.013524497719595154,16.93440055847168,43.44960403442383,0,0,0,0,0,0,0,7,3,1,273,273,4,100,12,273,1,S5/N77/C1,1425,-88,25,5,4240821235048461,13,342.0742492675781,75,1,0,37,0,985,986
CellReports,1721196526616,1,0.04167039692401886,0.03253120183944702,0,0,15,15,90.02017974853516,0.020734691305161267,41.6703987121582,32.53120040893555,0,0,0,0,0,0,0,11,11,1,273,273,15,100,41,273,1,S4/N77/C3,-1015,-80,25,4,4240821235048460,12,521.8118896484375,55,1,240,37,0,985,986
CellReports,1721196526616,1,0.04190000146627426,0.04313599690794945,0,0,8,8,83.26766204833984,0.01812840514825616,41.900001525878906,43.1359977722168,0,0,0,0,0,0,0,6,6,1,273,273,10,100,29,273,1,S6/N77/C3,-1654,-890,25,6,4240821235048466,18,667.4188842773438,70,1,240,37,0,985,986
CellReports,1721196526616,1,0.025790398940443993,0.039608001708984375,0,0,16,16,59.63383102416992,0.01649560766744548,25.7903995513916,39.608001708984375,0,0,0,0,0,0,0,9,4,1,273,273,7,100,20,273,1,S4/N77/C2,-1015,-80,25,4,4240821235048459,11,431.1378173828125,76,1,120,37,0,985,986
CellReports,1721196526616,1,0.009172799997031689,0.03153439983725548,0,0,16,16,46.1287841796875,0.012671991740240468,9.172800064086914,31.534399032592773,0,0,0,0,0,0,0,4,1,1,273,273,2,100,8,273,1,S4/N77/C1,-1015,-80,25,4,4240821235048458,10,199.59771728515625,92,1,0,37,0,985,986
