name,time (ms),DRB.EstabSucc,DRB.UECqiDl,DRB.UECqiUl,DRB.UEThpDl,DRB.UEThpUl,QF.EstabAttNbr,QF.EstabSuccNbr,QF.RelActNbr,QF.ReleaseAttNbr,RRU.PrbUsedDl,RRU.PrbUsedUl,SM.PDUSessionSetupReq,SM.PDUSessionSetupSucc,TB.TotNbrDl,TB.TotNbrUl,Viavi.CA.cells,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.QoS.5qi,Viavi.QoS.Priority,Viavi.QoS.Score,Viavi.UE.Name,Viavi.UE.RsSinr,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.Slice,Viavi.UE.anomalies,Viavi.UE.targetThroughputDl,Viavi.mMIMO.Beamforming,Viavi.mMIMO.Group,Viavi.mMIMO.Type,_QF.AbnormDuration,_QF.NormDuration,neighbor,report
UEReports,1721205398029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205398029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15074,1666,1,S1/N77/C2,3,-1100,213,2,1,20,100,Pedestrian-3,34.075347900390625,-88.1534423828125,-10.793511390686035,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205398029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,15034,1626,1,S2/N77/C2,3,475,600,2,1,20,100,Pedestrian-4,29.075347900390625,-93.1534423828125,-10.797182083129883,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205397029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15056,1664,1,S1/N77/C2,3,-1100,216,2,1,20,100,Pedestrian-3,42.075347900390625,-80.1534423828125,-10.792081832885742,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205397029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,15016,1624,1,S2/N77/C2,3,478,600,2,1,20,100,Pedestrian-4,34.075347900390625,-88.1534423828125,-10.793511390686035,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205397029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205397029,,0,0,0.0003615999885369092,0.0009280000231228769,,,,,7,136,,,12155,1670,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205396029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205396029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,12137,1668,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205396029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,14998,1622,1,S2/N77/C2,3,481,600,2,1,20,100,Pedestrian-4,37.075347900390625,-85.1534423828125,-10.79266357421875,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205396029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15038,1662,1,S1/N77/C2,3,-1100,219,2,1,20,100,Pedestrian-3,25.075347900390625,-97.1534423828125,-10.805289268493652,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
