name,time (ms),DRB.EstabSucc,DRB.UECqiDl,DRB.UECqiUl,DRB.UEThpDl,DRB.UEThpUl,QF.EstabAttNbr,QF.EstabSuccNbr,QF.RelActNbr,QF.ReleaseAttNbr,RRU.PrbUsedDl,RRU.PrbUsedUl,SM.PDUSessionSetupReq,SM.PDUSessionSetupSucc,TB.TotNbrDl,TB.TotNbrUl,Viavi.CA.cells,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.QoS.5qi,Viavi.QoS.Priority,Viavi.QoS.Score,Viavi.UE.Name,Viavi.UE.RsSinr,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.Slice,Viavi.UE.anomalies,Viavi.UE.targetThroughputDl,Viavi.mMIMO.Beamforming,Viavi.mMIMO.Group,Viavi.mMIMO.Type,_QF.AbnormDuration,_QF.NormDuration,neighbor,report
UEReports,1721118659273,,15,15,0.006643199827522039,0.006207999773323536,,,,,4,39,,,55479,8286,1,S2/N77/C3,3,67,505,2,1,20,0,Pedestrian-31,45.075347900390625,-77.1534423828125,-10.791947364807129,eMBB,0,0,Digital,1,SSB,,,,serving
UEReports,1721118659273,,11,11,0.0005536000244319439,0.011523200199007988,,,,,0,91,,,56772,8350,1,S4/N77/C2,3,2419,-995,2,1,20,6,Pedestrian-36,18.075347900390625,-104.1534423828125,-10.858938217163086,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.006207999773323536,,,,,7,39,,,54128,8364,1,S3/N77/C3,3,-407,-1000,2,1,20,100,Pedestrian-34,33.075347900390625,-89.1534423828125,-10.793951034545898,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,0,0,0.0003615999885369092,0.0002623999898787588,,,,,7,39,,,47014,8386,1,S3/N77/C3,1,-543,-990,12,1,20,7,Indoor-7,-8.924651145935059,-131.1534423828125,-20.23992347717285,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,0,0,0.00023999999393709004,0.00037120000342838466,,,,,4,55,,,50089,8384,1,S2/N77/C2,9,370,-56,12,1,20,5,Indoor-6,-3.9246513843536377,-126.1534423828125,-16.193456649780273,eMBB,0,0.004999999888241291,Digital,1,SSB,,,,serving
UEReports,1721118659273,,0,0,0.00023999999393709004,0.000364800012903288,,,,,4,54,,,50089,8384,1,S2/N77/C2,9,333,-54,6,1,20,5,Indoor-4,-5.924651622772217,-128.1534423828125,-17.704923629760742,eMBB,0,0.004999999888241291,Digital,1,SSB,,,,serving
UEReports,1721118659273,,14,14,0.008595200255513191,0.006588799878954887,,,,,6,55,,,55644,8356,1,S2/N77/C2,5,1506,635,2,1,20,86,Pedestrian-50,24.075347900390625,-98.1534423828125,-10.808771133422852,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,8,8,0.00041519998922012746,0.00392800010740757,,,,,0,45,,,58047,8342,1,S4/N77/C3,3,1611,-1001,2,1,20,4,Pedestrian-48,13.075348854064941,-109.1534423828125,-11.000629425048828,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,10,10,0.00044559998787008226,0.014653599821031094,,,,,0,137,,,50466,8362,1,S4/N77/C1,8,2045,-5,2,1,20,4,Pedestrian-45,17.075347900390625,-105.1534423828125,-10.876151084899902,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,10,10,0.0005536000244319439,0.006541599985212088,,,,,0,55,,,48799,8370,1,S2/N77/C2,2,1288,1008,2,1,20,6,Pedestrian-23,16.075347900390625,-106.1534423828125,-10.897724151611328,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,0,0,0.00023999999393709004,0.000364800012903288,,,,,4,54,,,50039,8386,1,S2/N77/C2,1,347,-48,2,1,20,5,Indoor-5,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005411200225353241,,,,,7,34,,,57260,8362,1,S2/N77/C1,9,509,1430,2,1,20,100,Pedestrian-32,35.075347900390625,-87.1534423828125,-10.79316234588623,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005411200225353241,,,,,7,34,,,59029,8370,1,S2/N77/C1,9,496,767,2,1,20,100,Pedestrian-30,32.075347900390625,-90.1534423828125,-10.79450511932373,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005569600034505129,,,,,7,35,,,67401,8364,1,S2/N77/C1,9,492,936,2,1,20,100,Pedestrian-29,32.075347900390625,-90.1534423828125,-10.79450511932373,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005411200225353241,,,,,7,34,,,57999,8364,1,S2/N77/C1,9,500,1234,2,1,20,100,Pedestrian-26,37.075347900390625,-85.1534423828125,-10.79266357421875,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005411200225353241,,,,,7,34,,,60101,8384,1,S2/N77/C1,6,415,992,2,1,20,100,Pedestrian-27,39.075347900390625,-83.1534423828125,-10.792349815368652,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005411200225353241,,,,,7,34,,,57592,8358,1,S2/N77/C1,3,8,1192,2,1,20,100,Pedestrian-46,39.075347900390625,-83.1534423828125,-10.792349815368652,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005411200225353241,,,,,7,34,,,60680,8384,1,S2/N77/C1,3,-8,1364,2,1,20,100,Pedestrian-28,38.075347900390625,-84.1534423828125,-10.792489051818848,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.005411200225353241,,,,,7,34,,,57847,8386,1,S2/N77/C1,1,328,995,2,1,20,100,Pedestrian-25,43.075347900390625,-79.1534423828125,-10.79202651977539,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,0,0,0,0.00031040000612847507,,,,,0,46,,,54886,8214,1,S4/N77/C3,6,587,-994,2,1,20,0,Pedestrian-37,-8.924651145935059,-131.1534423828125,-20.23992347717285,eMBB,0,0,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.021644800901412964,,,,,7,136,,,58313,8282,1,S4/N77/C1,3,1480,-496,2,1,20,0,Pedestrian-41,36.075347900390625,-86.1534423828125,-10.792884826660156,eMBB,0,0,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,68218,8386,1,S1/N77/C3,1,-2035,499,2,1,20,100,Pedestrian-21,36.075347900390625,-86.1534423828125,-10.792884826660156,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,11,11,0.0005536000244319439,0.017935199663043022,,,,,0,137,,,65083,8350,1,S3/N77/C1,5,7,-306,2,1,20,6,Pedestrian-40,19.075347900390625,-103.1534423828125,-10.845216751098633,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,1,1,0.0003583999932743609,0.00031040000612847507,,,,,7,46,,,64800,8384,1,S1/N77/C2,9,-1376,479,32,1,20,7,Indoor-3,-0.9246515035629272,-123.1534423828125,-14.289000511169434,eMBB,0,0.004999999888241291,Digital,1,SSB,,,,serving
UEReports,1721118659273,,5,5,0.0017711999826133251,0.0013360000448301435,,,,,7,46,,,64941,8384,1,S1/N77/C2,9,-1377,475,26,1,20,35,Indoor-2,9.075348854064941,-113.1534423828125,-11.298420906066895,eMBB,0,0.004999999888241291,Digital,1,SSB,,,,serving
UEReports,1721118659273,,4,4,0.0012592000421136618,0.0009679999784566462,,,,,7,46,,,64935,8384,1,S1/N77/C2,9,-1368,472,6,1,20,25,Indoor-1,7.075348377227783,-115.1534423828125,-11.569466590881348,eMBB,0,0.004999999888241291,Digital,1,SSB,,,,serving
UEReports,1721118659273,,15,15,0.009645599871873856,0.007161600049585104,,,,,6,45,,,69963,8342,1,S1/N77/C2,8,-1507,584,2,1,20,96,Pedestrian-20,33.075347900390625,-89.1534423828125,-10.793951034545898,eMBB,0,0.009999999776482582,Digital,1,SSB,,,,serving
UEReports,1721118659273,,8,8,0.0019576000049710274,0.0028367999475449324,,,,,3,46,,,56837,8386,1,S4/N77/C3,1,1451,-811,6,1,20,39,Indoor-12,14.075348854064941,-108.1534423828125,-10.958494186401367,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721118659273,,15,15,0.00996480043977499,0.021644800901412964,,,,,7,136,,,60036,8368,1,S3/N77/C1,3,-4,17,2,1,20,100,Pedestrian-33,34.075347900390625,-88.1534423828125,-10.793511390686035,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
